1:12+8= :10 :20 :18 :30 :2
2:15+7= :21 :20 :22 :24 :3
3:18+5= :22 :25 :24 :23 :4
4:10+9= :19 :20 :21 :22 :1
5:25+6= :30 :31 :32 :33 :2
6:14+11= :24 :25 :26 :27 :2
7:13+7= :19 :20 :21 :22 :2
8:18+8= :24 :25 :26 :27 :3
9:21+4= :25 :26 :27 :28 :1
10:11+10= :21 :20 :22 :23 :1
11:17+9= :25 :26 :27 :28 :2
12:12+15= :29 :28 :27 :30 :3
13:16+6= :21 :22 :24 :25 :2
14:19+3= :22 :23 :24 :25 :1
15:10+13= :26 :24 :25 :23 :4
16:22+7= :28 :30 :29 :31 :3
17:15+5= :20 :21 :22 :23 :1
18:13+9= :22 :21 :23 :24 :1
19:14+8= :23 :22 :24 :25 :2
20:12+7= :19 :18 :20 :21 :1
21:16+8= :27 :25 :26 :24 :4
22:14+12= :25 :26 :27 :28 :2
23:11+14= :27 :26 :25 :28 :3
24:20+5= :25 :26 :27 :28 :1
25:18+7= :26 :25 :27 :28 :2
26:22+6= :27 :29 :28 :30 :3
27:15+10= :27 :26 :25 :28 :3
28:13+12= :26 :25 :27 :28 :2
29:17+6= :25 :24 :23 :26 :3
30:21+8= :28 :30 :29 :31 :3
31:24+4= :29 :28 :30 :31 :2
32:16+11= :27 :26 :28 :29 :1
33:14+5= :19 :20 :21 :22 :1
34:12+11= :21 :23 :25 :26 :2
35:18+12= :33 :31 :32 :30 :4
36:13+6= :19 :20 :21 :22 :1
37:19+10= :28 :31 :30 :29 :4
38:11+9= :20 :21 :22 :23 :1
39:15+11= :25 :26 :27 :28 :2
40:22+9= :30 :32 :31 :33 :3
41:24+5= :32 :30 :31 :29 :4
42:10+12= :23 :22 :24 :25 :2
43:13+14= :29 :28 :27 :30 :3
44:15+8= :23 :24 :25 :26 :1
45:17+5= :32 :22 :24 :25 :2
46:120+37= :127 :327 :157 :330 :3
47:18+114= :132 :123 :133 :135 :1
48:235+53= :330 :331 :306 :333 :3
49:132+113= :255 :216 :227 :245 :4
50:113+153= :266 :267 :268 :269 :1
